title,id,release_date,vote_average,actors,director,composer,writer,producer
Togo,606856,2019-12-20,8.148,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl']",Ericson Core,Mark Isham,Tom Flynn,Kim Zubick
Piper,399106,2016-06-16,8.149,[],Alan Barillaro,Adrian Belew,,Marc Sondheimer
Singin' in the Rain,872,1952-04-09,8.148,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",Stanley Donen,,Adolph Green,Arthur Freed
Steven Universe: The Movie,537061,2019-10-07,8.147,"['Zach Callison', 'Deedee Magno', 'Estelle']",Rebecca Sugar,,,Jackie Buscarino
The Truman Show,37165,1998-06-04,8.146,"['Jim Carrey', 'Laura Linney', 'Noah Emmerich']",Peter Weir,Burkhard von Dallwitz,,Edward S. Feldman
Joker,475557,2019-10-01,8.143,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",Todd Phillips,Hildur Guðnadóttir,,Emma Tillinger Koskoff
Silenced,81481,2011-09-22,8.1,"['Gong Yoo', 'Jung Yu-mi', 'Kim Hyun-soo']",Hwang Dong-hyuk,Mowg,Hwang Dong-hyuk,Bae Jeong-min
My Friends,20914,1975-10-24,8.138,"['Ugo Tognazzi', 'Gastone Moschin', 'Philippe Noiret']",Mario Monicelli,Carlo Rustichelli,Piero De Bernardi,Carlo Nebiolo
Taxi Driver,103,1976-02-09,8.1,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",Martin Scorsese,Bernard Herrmann,Paul Schrader,Julia Phillips
Scenes from a Marriage,133919,1974-09-15,8.1,"['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson']",Ingmar Bergman,,,Lars-Owe Carlberg
Stalker,1398,1979-05-25,8.137,"['Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko']",Andrei Tarkovsky,Eduard Artemyev,Andrei Tarkovsky,Aleksandra Demidova
8½,422,1963-02-14,8.1,"['Marcello Mastroianni', 'Anouk Aimée', 'Sandra Milo']",Federico Fellini,Nino Rota,Ennio Flaiano,Angelo Rizzoli
There's Still Tomorrow,1026227,2023-10-26,8.1,"['Paola Cortellesi', 'Valerio Mastandrea', 'Romana Maggiora Vergano']",Paola Cortellesi,Lele Marchitelli,Giulia Calenda,Mario Gianani
Bound by Honor,9702,1993-02-05,8.1,"['Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt']",Taylor Hackford,Bill Conti,Floyd Mutrux,Jerry Gershwin
The Shop Around the Corner,20334,1940-01-12,8.1,"['Margaret Sullavan', 'James Stewart', 'Frank Morgan']",Ernst Lubitsch,Werner R. Heymann,Samson Raphaelson,Ernst Lubitsch
Zack Snyder's Justice League,791373,2021-03-18,8.133,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Zack Snyder,Tom Holkenborg,Chris Terrio,Charles Roven
Wild Strawberries,614,1957-08-28,8.1,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",Ingmar Bergman,Göte Lovén,Ingmar Bergman,Allan Ekelund
Wonder,406997,2017-11-13,8.128,"['Jacob Tremblay', 'Julia Roberts', 'Owen Wilson']",Stephen Chbosky,Marcelo Zarvos,Steven Conrad,Todd Lieberman
Full Metal Jacket,600,1987-06-26,8.127,"['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio""]",Stanley Kubrick,Vivian Kubrick,Michael Herr,Stanley Kubrick
Call Me by Your Name,398818,2017-07-28,8.1,"['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg']",Luca Guadagnino,Sufjan Stevens,James Ivory,Rodrigo Teixeira
Palmer,458220,2021-01-28,8.123,"['Justin Timberlake', 'Ryder Allen', 'Juno Temple']",Fisher Stevens,Terlan Mirzeyev,,Charles B. Wessler
Central Station,666,1998-04-03,8.1,"['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra']",Walter Salles,Jaques Morelenbaum,Marcos Bernstein,Arthur Cohn
The Father,600354,2020-12-23,8.1,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']",Florian Zeller,Ludovico Einaudi,Florian Zeller,David Parfitt
Reservoir Dogs,500,1992-09-02,8.12,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",Quentin Tarantino,,,Lawrence Bender
Soul,508442,2020-12-25,8.119,"['Jamie Foxx', 'Tina Fey', 'Graham Norton']",Pete Docter,Jon Batiste,Pete Docter,Dana Murray
The Great War,55823,1959-10-28,8.118,"['Vittorio Gassman', 'Alberto Sordi', 'Silvana Mangano']",Mario Monicelli,Nino Rota,Agenore Incrocci,Dino De Laurentiis
The Count of Monte Cristo,1084736,2024-06-28,8.115,"['Pierre Niney', 'Bastien Bouillon', 'Anaïs Demoustier']",Alexandre de La Patellière,,Matthieu Delaporte,Dimitri Rassam
The Hate U Give,470044,2018-10-19,8.117,"['Amandla Stenberg', 'Regina Hall', 'Russell Hornsby']",George Tillman Jr.,Dustin O'Halloran,Audrey Wells,Robert Teitel
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1964-01-29,8.1,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",Stanley Kubrick,Laurie Johnson,Terry Southern,Victor Lyndon
Terminator 2: Judgment Day,280,1991-07-03,8.117,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",James Cameron,Brad Fiedel,,James Cameron
"Lock, Stock and Two Smoking Barrels",100,1998-08-28,8.117,"['Vinnie Jones', 'Jason Flemyng', 'Dexter Fletcher']",Guy Ritchie,David A. Hughes,Guy Ritchie,Matthew Vaughn
Portrait of a Lady on Fire,531428,2019-09-18,8.1,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami']",Céline Sciamma,Para One,Céline Sciamma,Bénédicte Couvreur
Double Indemnity,996,1944-07-06,8.1,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",Billy Wilder,Miklós Rózsa,Billy Wilder,Joseph Sistrom
Better Days,575813,2019-10-25,8.113,"['Zhou Dongyu', 'Jackson Yee', 'Yin Fang']",Derek Tsang Kwok-Cheung,Hank Lee,,Jojo Hui Yuet-Chun
Metropolis,19,1927-02-06,8.113,"['Gustav Fröhlich', 'Brigitte Helm', 'Alfred Abel']",Fritz Lang,Gottfried Huppertz,Fritz Lang,Erich Pommer
Transformers One,698687,2024-09-11,8.113,"['Chris Hemsworth', 'Brian Tyree Henry', 'Scarlett Johansson']",Josh Cooley,Brian Tyler,Eric Pearson,Michael Bay
In the Mood for Love,843,2000-09-29,8.1,"['Tony Leung Chiu-Wai', 'Maggie Cheung Man-Yuk', 'Rebecca Pan']",Wong Kar-Wai,Shigeru Umebayashi,Wong Kar-Wai,Wong Kar-Wai
Along with the Gods: The Last 49 Days,518068,2018-08-01,8.1,"['Ha Jung-woo', 'Ju Ji-hoon', 'Kim Hyang-gi']",Kim Yong-hwa,,,Kim Ji-hong
Purple Hearts,762975,2022-07-29,8.109,"['Sofia Carson', 'Nicholas Galitzine', 'John Harlan Kim']",Elizabeth Allen Rosenbaum,,,Leslie Morgenstein
The Invisible Guest,411088,2017-01-06,8.106,"['Mario Casas', 'Ana Wagener', 'Jose Coronado']",Oriol Paulo,Fernando Velázquez,Oriol Paulo,Eneko Lizarraga Arratibel
Incendies,46738,2010-09-17,8.105,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",Denis Villeneuve,Grégoire Hetzel,Valérie Beaugrand-Champagne,Kim McCraw
Mortal Kombat Legends: Scorpion's Revenge,664767,2020-04-12,8.104,"['Patrick Seitz', 'Jordan Rodrigues', 'Jennifer Carpenter']",Ethan Spaulding,John Jennings Boyd,,Rick Morales
"“The Shorts” by Aldo, Giovanni and Giacomo",38288,1996-03-29,8.104,"['Aldo Baglio', 'Giacomo Poretti', 'Giovanni Storti']",Arturo Brachetti,,,Paolo Guerra
Red Beard,3780,1965-04-03,8.1,"['Toshirō Mifune', 'Yūzō Kayama', 'Tsutomu Yamazaki']",Akira Kurosawa,Masaru Satō,Masato Ide,Tomoyuki Tanaka
Prisoners,146233,2013-09-19,8.1,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']",Denis Villeneuve,Jóhann Jóhannsson,,Kira Davis
Big Deal on Madonna Street,24382,1958-07-26,8.1,"['Vittorio Gassman', 'Renato Salvatori', 'Memmo Carotenuto']",Mario Monicelli,Piero Umiliani,Mario Monicelli,Franco Cristaldi
"Paris, Texas",655,1984-07-16,8.1,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']",Wim Wenders,Ry Cooder,,Anatole Dauman
Sansho the Bailiff,20532,1954-03-31,8.1,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyōko Kagawa']",Kenji Mizoguchi,Kanahichi Odera,Yoshikata Yoda,Masaichi Nagata
The Best of Youth,11659,2003-06-22,8.1,"['Luigi Lo Cascio', 'Alessio Boni', 'Adriana Asti']",Marco Tullio Giordana,,Sandro Petraglia,Angelo Barbagallo
Eternal Sunshine of the Spotless Mind,38,2004-03-19,8.096,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",Michel Gondry,Jon Brion,Charlie Kaufman,Steve Golin
Yojimbo,11878,1961-04-25,8.1,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Yōko Tsukasa']",Akira Kurosawa,Masaru Satō,Ryūzō Kikushima,Akira Kurosawa
WALL·E,10681,2008-06-22,8.095,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",Andrew Stanton,Thomas Newman,Jim Reardon,Lindsey Collins
Some Like It Hot,239,1959-03-19,8.1,"['Tony Curtis', 'Jack Lemmon', 'Marilyn Monroe']",Billy Wilder,Adolph Deutsch,Billy Wilder,Billy Wilder
The Hunt,103663,2012-06-13,8.1,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",Thomas Vinterberg,Nikolaj Egelund,Tobias Lindholm,Thomas Vinterberg
"Miraculous World: New York, United HeroeZ",755812,2020-09-25,8.1,"['Annouck Hautbois', 'Benjamin Bollen', 'Antoine Tomé']",Thomas Astruc,,,Aton Soumache
Harry Potter and the Deathly Hallows: Part 2,12445,2011-07-12,8.091,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",David Yates,Alexandre Desplat,Steve Kloves,David Barron
The Tale of The Princess Kaguya,149871,2013-11-23,8.1,"['Aki Asakura', 'Takeo Chii', 'Nobuko Miyamoto']",Isao Takahata,Joe Hisaishi,Riko Sakaguchi,Yoshiaki Nishimura
All About Eve,705,1950-11-09,8.089,"['Bette Davis', 'Anne Baxter', 'George Sanders']",Joseph L. Mankiewicz,Alfred Newman,Joseph L. Mankiewicz,Darryl F. Zanuck
La Haine,406,1995-05-31,8.1,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",Mathieu Kassovitz,,Mathieu Kassovitz,Christophe Rossignon
Das Boot,387,1981-09-17,8.087,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",Wolfgang Petersen,Klaus Doldinger,Wolfgang Petersen,Günter Rohrbach
Children of Paradise,2457,1945-03-15,8.1,"['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur']",Marcel Carné,Maurice Thiriet,Jacques Prévert,Raymond Borderie
Prayers for Bobby,21634,2009-01-24,8.1,"['Ryan Kelley', 'Sigourney Weaver', 'Henry Czerny']",Russell Mulcahy,,,Damian Ganczewski
La Dolce Vita,439,1960-02-05,8.079,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée']",Federico Fellini,Nino Rota,Brunello Rondi,Giuseppe Amato
Far from the Tree,831827,2021-11-24,8.1,[],Natalie Nourigat,Nami Melumad,,Ruth Strother
New Gods: Nezha Reborn,663558,2021-02-06,8.077,"['Yang Tianxiang', 'Zhang He', 'Xuan Xiaoming']",Zhao Ji,,,Lu Xi
Guillermo del Toro's Pinocchio,555604,2022-11-09,8.077,"['Ewan McGregor', 'David Bradley', 'Gregory Mann']",Mark Gustafson,Alexandre Desplat,Guillermo del Toro,Gary Ungar
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,532067,2019-08-30,8.075,"['Jun Fukushima', 'Rie Takahashi', 'Sora Amamiya']",Takaomi Kanasaki,Masato Kouda,Makoto Uezu,Yuji Matsukura
M,832,1931-05-11,8.077,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",Fritz Lang,,Fritz Lang,
Oppenheimer,872585,2023-07-19,8.076,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",Christopher Nolan,Ludwig Göransson,,Christopher Nolan
There Will Be Blood,7345,2007-12-26,8.1,"['Daniel Day-Lewis', 'Paul Dano', ""Kevin J. O'Connor""]",Paul Thomas Anderson,Jonny Greenwood,Paul Thomas Anderson,Daniel Lupi
A Taxi Driver,437068,2017-08-02,8.072,"['Song Kang-ho', 'Thomas Kretschmann', 'Yoo Hai-jin']",Jang Hoon,,,Seo Kang-ho
Rashomon,548,1950-08-26,8.073,"['Toshirō Mifune', 'Machiko Kyō', 'Takashi Shimura']",Akira Kurosawa,Fumio Hayasaka,Shinobu Hashimoto,Jingo Minoura
Along with the Gods: The Two Worlds,397567,2017-12-20,8.1,"['Ha Jung-woo', 'Cha Tae-hyun', 'Ju Ji-hoon']",Kim Yong-hwa,,Kim Yong-hwa,Choi Jee-sun
Pride & Prejudice,4348,2005-09-16,8.071,"['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn']",Joe Wright,Dario Marianelli,Deborah Moggach,Tim Bevan
2001: A Space Odyssey,62,1968-04-02,8.071,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",Stanley Kubrick,,Arthur C. Clarke,Victor Lyndon
Believe Me: The Abduction of Lisa McVey,550776,2018-09-30,8.069,"['Katie Douglas', 'David James Elliott', 'Rossif Sutherland']",Jim Donovan,,,Kim Bondi
"Three Billboards Outside Ebbing, Missouri",359940,2017-12-01,8.1,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",Martin McDonagh,Carter Burwell,,Graham Broadbent
A Dog's Journey,522518,2019-05-03,8.067,"['Marg Helgenberger', 'Betty Gilpin', 'Henry Lau']",Gail Mancuso,Mark Isham,Maya Forbes,Gavin Polone
Lion,334543,2016-11-24,8.067,"['Dev Patel', 'Rooney Mara', 'David Wenham']",Garth Davis,Volker Bertelmann,Luke Davies,Iain Canning
My Neighbor Totoro,8392,1988-04-16,8.067,"['Noriko Hidaka', 'Chika Sakamoto', 'Hitoshi Takagi']",Hayao Miyazaki,Joe Hisaishi,,Tooru Hara
Sherlock Jr.,992,1924-04-17,8.1,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",Buster Keaton,,Clyde Bruckman,Buster Keaton
The Thing,1091,1982-06-25,8.065,"['Kurt Russell', 'Keith David', 'Wilford Brimley']",John Carpenter,Ennio Morricone,Bill Lancaster,David Foster
Bo Burnham: Inside,823754,2021-07-22,8.062,['Bo Burnham'],Bo Burnham,Bo Burnham,,Bo Burnham
Ran,11645,1985-06-01,8.1,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']",Akira Kurosawa,Toru Takemitsu,Akira Kurosawa,Masato Hara
A Special Day,42229,1977-08-11,8.061,"['Sophia Loren', 'Marcello Mastroianni', 'John Vernon']",Ettore Scola,Armando Trovajoli,Ettore Scola,Carlo Ponti
Me Against You: Mr. S's Vendetta,640344,2020-01-17,8.06,"['Sofia Scalia', 'Luigi Calagna', 'Antonella Carone']",Gianluca Leuzzi,Stefano Della Casa,Emanuela Canonico,Maurizio Totti
Hidden Figures,381284,2016-12-10,8.058,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']",Theodore Melfi,Hans Zimmer,Allison Schroeder,Donna Gigliotti
Memories of Murder,11423,2003-05-02,8.058,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roi-ha']",Bong Joon-ho,Taro Iwashiro,,Noh Jong-yun
Ayla: The Daughter of War,472454,2017-10-27,8.053,"['İsmail Hacıoğlu', 'Kim Seol', 'Çetin Tekindor']",Can Ulkay,Fahir Atakoğlu,,Mustafa Uslu
The Young and the Damned,800,1950-12-09,8.0,"['Estela Inda', 'Miguel Inclán', 'Alfonso Mejía']",Luis Buñuel,Gustavo Pittaluga,Luis Buñuel,Óscar Dancigers
Paper Lives,785534,2021-03-12,8.0,"['Çağatay Ulusoy', 'Emir Ali Doğrul', 'Ersin Arıcı']",Can Ulkay,,Ercan Mehmet Erdem,Onur Güvenatam
The Grand Budapest Hotel,120467,2014-02-26,8.046,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']",Wes Anderson,Alexandre Desplat,Wes Anderson,Wes Anderson
How to Train Your Dragon: Homecoming,638507,2019-12-03,8.0,"['Jay Baruchel', 'America Ferrera', 'Gerard Butler']",Tim Johnson,,,
The Second Mother,310569,2015-06-04,8.044,"['Regina Casé', 'Camila Márdila', 'Karine Teles']",Anna Muylaert,,Anna Muylaert,Anna Muylaert
Elite Squad,7347,2007-10-12,8.044,"['Wagner Moura', 'André Ramiro', 'Caio Junqueira']",José Padilha,Pedro Bromfman,José Padilha,José Padilha
My Name Is Khan,26022,2010-02-10,8.0,"['Shah Rukh Khan', 'Kajol', 'Arjan Aujla']",Karan Johar,Ehsaan Noorani,Shibani Bathija,Gauri Khan
Judgment at Nuremberg,821,1961-12-18,8.04,"['Spencer Tracy', 'Richard Widmark', 'Maximilian Schell']",Stanley Kramer,Ernest Gold,Abby Mann,Stanley Kramer
Bo Burnham: Make Happy,400608,2016-06-03,8.039,"['Bo Burnham', 'Lorene Scafaria']",Christopher Storer,Bo Burnham,,Kathy Welch
Robot Dreams,838240,2023-12-06,8.0,"['Ivan Labanda', 'Tito Trifol', 'Rafa Calvo']",Pablo Berger,Alfonso Vilallonga,,Ignasi Estapé
To Live,31439,1994-05-18,8.035,"['Ge You', 'Gong Li', 'Niu Ben']",Zhang Yimou,Zhao Jiping,Lu Wei,Christophe Tseng
The Elephant Man,1955,1980-10-09,8.0,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",David Lynch,John Morris,David Lynch,Jonathan Sanger
The 400 Blows,147,1959-06-03,8.0,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy']",François Truffaut,Jean Constantin,François Truffaut,François Truffaut
The Wolf of Wall Street,106646,2013-12-25,8.033,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",Martin Scorsese,,Terence Winter,Riza Aziz
On My Skin,538362,2018-09-12,8.032,"['Alessandro Borghi', 'Max Tortora', 'Jasmine Trinca']",Alessio Cremonini,Mokadelic,Alessio Cremonini,Olivia Musini
Rocco and His Brothers,8422,1960-10-07,8.0,"['Alain Delon', 'Renato Salvatori', 'Annie Girardot']",Luchino Visconti,Nino Rota,Luchino Visconti,Goffredo Lombardo
Amadeus,279,1984-09-19,8.028,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",Miloš Forman,,Peter Shaffer,Saul Zaentz
The Lives of Others,582,2006-03-23,8.028,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch']",Florian Henckel von Donnersmarck,Gabriel Yared,Florian Henckel von Donnersmarck,Max Wiedemann
Death Note Relight 1: Visions of a God,51482,2007-08-31,8.026,"['Mamoru Miyano', 'Shido Nakamura', 'Kappei Yamaguchi']",Tetsuro Araki,Yoshihisa Hirano,,
The Sting,9277,1973-12-25,8.024,"['Paul Newman', 'Robert Redford', 'Robert Shaw']",George Roy Hill,Marvin Hamlisch,,Tony Bill
"Veinteañera, divorciada y fantástica",610461,2020-02-14,8.0,"['Paulina Goto', 'Jesús Zavala', 'Vadhir Derbez']",Noé Santillán-López,,,Claudio Roca
Gifted,400928,2017-04-07,8.022,"['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan']",Marc Webb,Rob Simonsen,,Andy Cohen
The Wages of Fear,204,1953-04-22,8.021,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck']",Henri-Georges Clouzot,Georges Auric,Jérôme Géronimi,Raymond Borderie
Flipped,43949,2010-08-06,8.018,"['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay']",Rob Reiner,Marc Shaiman,Andrew Scheinman,Alan Greisman
Beyond the Universe,962232,2022-10-27,8.017,"['Henry Zaga', 'Giulia Be', 'João Miguel']",Diego Freitas,,,André Carreira
"Toto, Peppino, and the Hussy",55960,1956-08-23,8.017,"['Totò', 'Peppino De Filippo', 'Dorian Gray']",Camillo Mastrocinque,Lelio Luttazzi,Nicola Manzari,Renato Libassi
Requiem for a Dream,641,2000-10-06,8.017,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",Darren Aronofsky,Clint Mansell,Hubert Selby Jr.,Palmer West
Dial M for Murder,521,1954-05-29,8.0,"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",Alfred Hitchcock,Dimitri Tiomkin,Frederick Knott,Alfred Hitchcock
Jojo Rabbit,515001,2019-10-18,8.015,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson']",Taika Waititi,Michael Giacchino,Taika Waititi,Taika Waititi
Room,264644,2015-10-16,8.0,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen']",Lenny Abrahamson,Stephen Rennicks,Emma Donoghue,Ed Guiney
For a Few Dollars More,938,1965-12-18,8.0,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volonté']",Sergio Leone,Ennio Morricone,Sergio Leone,Alberto Grimaldi
Harry Potter and the Prisoner of Azkaban,673,2004-05-31,8.015,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",Alfonso Cuarón,John Williams,Steve Kloves,David Heyman
"Rome, Open City",307,1945-10-08,8.015,"['Aldo Fabrizi', 'Marcello Pagliero', 'Harry Feist']",Roberto Rossellini,Renzo Rossellini,Sergio Amidei,Giuseppe Amato
Society of the Snow,906126,2023-12-15,8.011,"['Enzo Vogrincic', 'Agustín Pardella', 'Matías Recalt']",J. A. Bayona,Michael Giacchino,Bernat Vilaplana,Belén Atienza
American Beauty,14,1999-09-15,8.012,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",Sam Mendes,Thomas Newman,,Bruce Cohen
El mesero,678580,2021-07-15,8.0,"['Vadhir Derbez', 'Bárbara López', 'Arturo Barba']",Raúl Martínez,,Raúl Martínez,
All Your Faces,1000492,2023-03-29,8.006,"['Birane Ba', 'Leïla Bekhti', 'Anne Benoît']",Jeanne Herry,Pascal Sangla,Jeanne Herry,
Black Beauty,526702,2020-11-27,8.0,"['Kate Winslet', 'Mackenzie Foy', 'Iain Glen']",Ashley Avis,Guillaume Roussel,Ashley Avis,Jeremy Bolt
Hachi: A Dog's Tale,28178,2009-06-08,8.0,"['Richard Gere', 'Joan Allen', 'Sarah Roemer']",Lasse Hallström,Jan A. P. Kaczmarek,Stephen P. Lindsey,Richard Gere
Simone: Woman of the Century,740937,2022-10-12,8.0,"['Elsa Zylberstein', 'Rebecca Marder', 'Élodie Bouchez']",Olivier Dahan,Olvon Yacob,Olivier Dahan,Vivien Aslanian
Ford v Ferrari,359724,2019-11-13,8.006,"['Matt Damon', 'Christian Bale', 'Jon Bernthal']",James Mangold,Marco Beltrami,Jez Butterworth,Peter Chernin
Cruella,337404,2021-05-26,8.006,"['Emma Stone', 'Emma Thompson', 'Joel Fry']",Craig Gillespie,Nicholas Britell,Dana Fox,Andrew Gunn
Casino,524,1995-11-22,8.0,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,,Nicholas Pileggi,Barbara De Fina
"Love, Simon",449176,2018-02-16,8.003,"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel']",Greg Berlanti,Rob Simonsen,Elizabeth Berger,Pouya Shahbazian
Song of the Sea,110416,2014-06-23,8.0,"['David Rawle', 'Brendan Gleeson', 'Lisa Hannigan']",Tomm Moore,Bruno Coulais,,Tomm Moore
Citizen Kane,15,1941-04-17,8.0,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",Orson Welles,Bernard Herrmann,Orson Welles,Orson Welles
3 Idiots,20453,2009-12-23,8.0,"['Aamir Khan', 'R. Madhavan', 'Sharman Joshi']",Rajkumar Hirani,Shantanu Moitra,Rajkumar Hirani,Vidhu Vinod Chopra
Tae Guk Gi: The Brotherhood of War,11658,2004-02-05,8.0,"['Jang Dong-gun', 'Won Bin', 'Lee Eun-ju']",Kang Je-kyu,Lee Dong-jun,Kang Je-kyu,Lee Seong-hun
Barry Lyndon,3175,1975-12-18,8.0,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",Stanley Kubrick,Leonard Rosenman,Stanley Kubrick,Stanley Kubrick
Lawrence of Arabia,947,1962-12-11,8.0,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",David Lean,Maurice Jarre,Robert Bolt,Sam Spiegel
"Red, White & Royal Blue",930094,2023-07-27,7.999,"['Taylor Zakhar Perez', 'Nicholas Galitzine', 'Uma Thurman']",Matthew López,Drum & Lace,Matthew López,Greg Berlanti
Weathering with You,568160,2019-06-19,7.998,"['Kotaro Daigo', 'Nana Mori', 'Tsubasa Honda']",Makoto Shinkai,Yojiro Noda,Makoto Shinkai,Wakana Okamura
Loving Vincent,339877,2017-06-22,8.0,"['Douglas Booth', 'Robert Gulaczyk', 'Eleanor Tomlinson']",Hugh Welchman,Clint Mansell,,Hugh Welchman
The Imitation Game,205596,2014-11-14,7.997,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']",Morten Tyldum,Alexandre Desplat,Graham Moore,Nora Grossman
The Secret in Their Eyes,25376,2009-08-13,7.996,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']",Juan José Campanella,Federico Jusid,,Juan José Campanella
The Deer Hunter,11778,1978-12-08,8.0,"['Robert De Niro', 'Christopher Walken', 'John Cazale']",Michael Cimino,Stanley Myers,Deric Washburn,Michael Cimino
Paperman,140420,2012-11-02,8.0,"['John Kahrs', 'Kari Wahlgren', 'Jeff Turley']",John Kahrs,Christophe Beck,,Kristina Reed
Late Spring,20530,1949-09-13,8.0,"['Chishū Ryū', 'Setsuko Hara', 'Yumeji Tsukioka']",Yasujirō Ozu,Senji Itô,Kōgo Noda,Takeshi Yamamoto
Sound of Freedom,678512,2023-07-03,7.993,"['Jim Caviezel', 'Mira Sorvino', 'Bill Camp']",Alejandro Monteverde,Javier Navarrete,,Eduardo Verástegui
Kill Bill: The Whole Bloody Affair,414419,2011-03-27,7.993,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']",Quentin Tarantino,Robert Rodriguez,,Lawrence Bender
To Kill a Mockingbird,595,1962-12-20,8.0,"['Mary Badham', 'Gregory Peck', 'Phillip Alford']",Robert Mulligan,Elmer Bernstein,Horton Foote,Alan J. Pakula
Love Exposure,28422,2009-01-31,8.0,"['Takahiro Nishijima', 'Hikari Mitsushima', 'Sakura Ando']",Sion Sono,Tomohide Harada,,Haruo Umekawa
